population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,5,Prevalence,6,China,2,Female,1,<5 years,973,Substance use disorders,2,Percent,2021,0.0002176625353873,0.0002858490674018,0.0001659992145309
1,All Population,5,Prevalence,6,China,1,Male,6,5-9 years,973,Substance use disorders,2,Percent,2021,0.0002590094538226,0.0003494033843713,0.0001873440133824
1,All Population,5,Prevalence,6,China,2,Female,6,5-9 years,973,Substance use disorders,2,Percent,2021,0.0002039060948733,0.0002653827959341,0.0001546656571709
1,All Population,5,Prevalence,6,China,1,Male,7,10-14 years,973,Substance use disorders,2,Percent,2021,0.0012844554995922,0.0019502200754276,0.0007403591749212
1,All Population,5,Prevalence,6,China,2,Female,7,10-14 years,973,Substance use disorders,2,Percent,2021,0.0006608855929035,0.0010100423777343,0.0003843666024003
1,All Population,5,Prevalence,6,China,1,Male,8,15-19 years,973,Substance use disorders,2,Percent,2021,0.0178756741197699,0.02432123511794,0.013072301559529
1,All Population,5,Prevalence,6,China,2,Female,8,15-19 years,973,Substance use disorders,2,Percent,2021,0.0078888986524098,0.0104862508089846,0.0056331122185331
1,All Population,5,Prevalence,6,China,1,Male,9,20-24 years,973,Substance use disorders,2,Percent,2021,0.0514459881575574,0.0639843293217869,0.0415134712660661
1,All Population,5,Prevalence,6,China,2,Female,9,20-24 years,973,Substance use disorders,2,Percent,2021,0.0218978102893378,0.028008583910231,0.0174236615011614
1,All Population,5,Prevalence,6,China,1,Male,10,25-29 years,973,Substance use disorders,2,Percent,2021,0.062025235573249,0.0752549236957933,0.049158936436151
1,All Population,5,Prevalence,6,China,2,Female,10,25-29 years,973,Substance use disorders,2,Percent,2021,0.0231753136877669,0.0279270757600566,0.0188164663215057
1,All Population,5,Prevalence,6,China,1,Male,11,30-34 years,973,Substance use disorders,2,Percent,2021,0.0586406374263745,0.0739498852713246,0.0437719328409453
1,All Population,5,Prevalence,6,China,2,Female,11,30-34 years,973,Substance use disorders,2,Percent,2021,0.0174988879949541,0.0218013170620395,0.0138050249331921
1,All Population,5,Prevalence,6,China,1,Male,12,35-39 years,973,Substance use disorders,2,Percent,2021,0.0561771699971315,0.0704710373226527,0.0444612604230972
1,All Population,5,Prevalence,6,China,2,Female,12,35-39 years,973,Substance use disorders,2,Percent,2021,0.0138067980969412,0.0169938971564698,0.0112144564715851
1,All Population,5,Prevalence,6,China,1,Male,13,40-44 years,973,Substance use disorders,2,Percent,2021,0.0540073598319331,0.0705074017575747,0.0406098532678657
1,All Population,5,Prevalence,6,China,2,Female,13,40-44 years,973,Substance use disorders,2,Percent,2021,0.0115287506677534,0.0146731473240869,0.0091865573198684
1,All Population,5,Prevalence,6,China,1,Male,14,45-49 years,973,Substance use disorders,2,Percent,2021,0.047489261258022,0.059174483343098,0.0379078210593401
1,All Population,5,Prevalence,6,China,2,Female,14,45-49 years,973,Substance use disorders,2,Percent,2021,0.0096651185698855,0.0117668306094372,0.0080140179453138
1,All Population,5,Prevalence,6,China,1,Male,15,50-54 years,973,Substance use disorders,2,Percent,2021,0.0395240437020675,0.0517829890885787,0.0294633858820816
1,All Population,5,Prevalence,6,China,2,Female,15,50-54 years,973,Substance use disorders,2,Percent,2021,0.0080856565250609,0.0106302790931353,0.0062811807151231
1,All Population,5,Prevalence,6,China,1,Male,16,55-59 years,973,Substance use disorders,2,Percent,2021,0.0323491706461514,0.0399743764125141,0.0255544879174961
1,All Population,5,Prevalence,6,China,2,Female,16,55-59 years,973,Substance use disorders,2,Percent,2021,0.0068216050372588,0.00838212649776,0.0053862396041489
1,All Population,5,Prevalence,6,China,1,Male,17,60-64 years,973,Substance use disorders,2,Percent,2021,0.0253352713580435,0.0336762711825373,0.0182654309847926
